aviario,feed_phase,vel_vento,amb_temp,bed_temp,light,umidade,temp_agua,consumo_agua,eletricidade,total_racao
1037,1 - Pré-Inicial,1.26146483516484,29.8129573833759,32.9232529801324,3.34404749119708,61.5284603530511,30.8216059602649,14504,185.341566666667,
1037,2 - Inicial 1,0.971915625,26.5852725645712,33.1709753472222,8.21078530092593,73.3829317242942,27.9167395104895,87696,521.3352,
1037,3 - Inicial 2,2.76596256830601,24.5919808743169,31.5955513661202,8.2125383424408,75.3643149362477,26.1943306010929,84123,885.8514,
1037,4 - Crescimento,5.68660386904762,23.9003317340792,33.8382704225352,8.179884447018,78.8525387430675,25.6343562874251,80563,795.053466666667,
1037,5 - Abate,6.5774762295082,22.5272461130762,,8.29899515027322,74.1678085772027,24.1180840163934,146993,1313.45426666667,
1077,1 - Pré-Inicial,0.501352472527473,30.6930207211538,,3.00166703296703,78.7693910027473,30.7485214438339,,,10447.5
1077,2 - Inicial 1,1.66633568075117,27.6241639906103,,1.4511735915493,81.6221263380282,28.1602112676056,,,
1077,3 - Inicial 2,3.12470966981132,26.2018311064426,,1.33709445754717,80.1990286694678,26.8083726415094,,,
1077,4 - Crescimento,7.93800866141732,26.5724897637795,,2.16561476377953,88.6131102362205,26.4660433070866,,,
1077,5 - Abate,6.30623412816692,25.1604001934985,,2.20160036747747,81.3835618034056,24.5400877931637,,,
1114,1 - Pré-Inicial,1.08849739583333,25.8580223958333,,6.20323606770833,76.9589057291667,27.2254664921466,33978,269.5749,8921.25395
1114,2 - Inicial 1,2.0787568627451,24.6826584313725,,2.30005617647059,83.2904803921569,26.4632338660792,93756,710.944,49818.8556
1114,3 - Inicial 2,3.14678829268293,23.1604034313726,,2.87674742083607,78.6655093137255,25.2587046197285,95319,580.7184,54842.616
1114,4 - Crescimento,6.5315625,22.5983898809524,,1.48803958333333,82.4354297619048,24.8908792207792,80409,820.548166666667,54377.9215
1114,5 - Abate,7.34128938547486,21.6208078212291,,1.2465625698324,80.8721240223464,24.0673765363128,117612,1392.54536666667,88233.4255
1117,1 - Pré-Inicial,0.535955692020398,29.6441626614995,30.968532967033,9.63050902585786,72.7909854072398,29.1350428162263,10787,272.0753,
1117,2 - Inicial 1,0.863025294117647,27.0242091503268,31.5480780392157,6.38868810457516,71.6339664052288,27.0631416936853,46344,450.7348,
1117,3 - Inicial 2,3.05439953703704,25.494069458378,33.8960537037037,6.47538217592593,79.3159285493827,26.0661168981481,47515.5,484.8438,
1117,4 - Crescimento,4.22468402837183,23.2644545469577,34.379455952381,7.10731884920635,75.8445255952381,23.9474934060451,41727,446.211733333333,
1117,5 - Abate,8.9686145522388,23.5082415941128,33.5297333333333,8.97499235074627,77.0042904228856,23.7150186567164,77770,1568.44416666667,
1118,1 - Pré-Inicial,0.760912315276468,30.2603110149087,30.7618232044199,12.020594014733,71.826533894803,29.6110560773481,10300.5,299.619366666667,
1118,2 - Inicial 1,1.13875136328547,27.1740572689523,31.6315231372549,7.77560258611207,70.187053739277,27.1492398170449,44892,620.9032,
1118,3 - Inicial 2,4.13856419753086,25.6163508986736,33.342175462963,7.43473395061728,76.4726422839506,25.8804613910422,51736.5,853.7403,
1118,4 - Crescimento,4.53787304934022,23.0309929728836,30.600719047619,9.67059186507936,73.4347888888889,22.9794601689478,43249.5,831.822133333333,
1118,5 - Abate,3.29984074074074,23.2079855761317,30.1708049429658,10.4444641358025,74.6459571604938,23.1391835467438,71786,1706.05123333333,
1120,1 - Pré-Inicial,0.745703773584906,27.8017974039128,,15.0589997103852,76.4606532490703,28.7922794117647,35,269.4538,
1120,2 - Inicial 1,1.91359746376812,26.7559796892754,,4.72223824569924,76.4447154065511,28.7668981481481,,1048.8012,
1120,3 - Inicial 2,5.52724085106383,25.9226093628661,,5.99145297049497,74.413934976646,28.3831018518519,,1048.2123,
1120,4 - Crescimento,6.75763674698795,24.1321252019452,,3.15671894920635,75.5981506868687,26.8900602409639,,593.239966666667,
1120,5 - Abate,7.88619033613445,25.0939031803767,,2.43164333253816,78.8541857950967,26.2108369098712,,947.505166666667,
1123,1 - Pré-Inicial,0.133363095238095,28.0272897700787,33.1145352,18.1341243851852,65.4824036199475,26.2878563596491,29981,315.831133333333,
1126,2 - Inicial 1,0.627364192139738,,29.5822462882096,4.8133711229489,,26.5050963005339,64692,361.0716,
1126,3 - Inicial 2,2.35798611111111,21.8316818181818,36.066475462963,2.77832978395062,85.4706618181818,24.2068865740741,77760,244.7112,
1126,4 - Crescimento,6.54082341772152,22.8422362068966,38.1491578947368,3.66265327004219,87.0745241935484,24.4402689873418,70959,,
1126,5 - Abate,6.25074594594595,,,4.5802790990991,,23.0978040540541,126478,,
1239,2 - Inicial 1,0.262974305555556,24.4700014234875,,25.2759577256944,76.9996647686833,26.6063368055556,84828,1102.1224,
1239,3 - Inicial 2,0.777817592592593,22.8777032967033,,4.8364899002512,80.6101967391304,25.8197337962963,70479,881.751,
1239,4 - Crescimento,0.956025581395349,24.9505238095238,,0.514079946073475,77.7792190476191,26.0595930232558,62293,709.931833333333,
1251,2 - Inicial 1,0.97863,26.1650256221269,,3.87195860915033,73.0613846334199,25.7926470588235,,702.8936,
1251,3 - Inicial 2,1.15245733944954,24.9146158492757,,1.73510475952182,72.9551273885918,25.6801136363636,,717.924,
170,1 - Pré-Inicial,1.14995891891892,28.97312411885,,14.1537863529329,67.3109358003529,30.3624730389999,18102,190.9481,
170,2 - Inicial 1,0.55256265060241,25.9976680424394,,9.217718502249,72.2533899682308,27.1428553643431,43332,472.5436,
