aviario,fb.pre_inicial,fb.inicial_1,fb.inicial_2,fb.crescimento,fb.abate,cap_silo,tipo_aviario,global,mort_inicial,cama,gmd,iep,mortalidade,salmonella,densidade,caaj,a01,a02,a03,a08,a09,a10,a11,c07,c08,d01,d02,d03,d04_bin,d05_bin,f15,h01,h02,i02,i03,i04,i05,i06,i07,i08,i09,i10,i11,x01,i01,f01,f02,f03,f04,f05,f06,c05,c06,c12,y03,y04,class_av,peso.7d,mult.7d,peso.14d,mult.14d,peso.21d,mult.21d,peso.28d,mult.28d,peso.35d,mult.35d,peso.42d,mult.42d,coef_correcao,fb.pre_inicial_ajustado,fb.inicial_1_ajustado,fb.inicial_2_ajustado,fb.crescimento_ajustado,fb.abate_ajustado
103,260,1.3673377212156377,-0.40788288817185403,1.380286048562518,2.53449056766193,-0.1207420109652115,2,0,"1,26",14,74.3,398.0,6.62,"0,538461538",13,1.713,1,0,0,1,0,1,0,0,0,0,1,0,0,0,6,1,0,0,0,0,1,0,0,0,0,0.0,1.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,0.4430742557308204,0.03207392967762296,0.4430742557308204,0.03207392967762296,0.4430742557308204,0.03207392967762296,0.4430742557308204,0.03207392967762296,0.4430742557308204,0.03207392967762296,0.4430742557308204,0.03207392967762296,0.9472361809045227,246.2814070351759,1.2951917610509935,-0.3863614292482135,1.3074568851961539,2.4007611658506223
137,250,0.521467555968326,-0.40788288817185403,0.009786309289853782,-0.15472099014537566,-0.34249654977123434,2,0,"1,2",21,73.6,396.0,6.18,"0,153846154",13,1.717,1,0,0,1,0,0,1,1,0,1,0,1,0,0,5,0,0,0,0,0,1,0,0,0,0,0.0,1.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,0.8213251962263138,-0.1528327565044119,0.8213251962263138,-0.1528327565044119,0.8213251962263138,-0.1528327565044119,0.8213251962263138,-0.1528327565044119,0.8213251962263138,-0.1528327565044119,0.8213251962263138,-0.1528327565044119,0.952020202020202,238.0050505050505,0.49644764797994667,-0.3883127495979519,0.009316764147158776,-0.1472975082949662
1281,250,-0.4452412043143162,0.06331290829457702,0.46661955571407515,0.9474148942018807,0.5445216054528571,3,0,"0,68",9,74.4,378.0,10.14,"0,384615385",14,1.699,1,0,0,0,1,1,0,0,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,1,0.0,1,0,0,0,5,0.2809667098041803,-0.04717179297182323,0.2809667098041803,-0.04717179297182323,0.2809667098041803,-0.04717179297182323,0.2809667098041803,-0.04717179297182323,0.2809667098041803,-0.04717179297182323,0.2809667098041803,-0.04717179297182323,0.9973544973544973,249.33862433862433,-0.4440633175304159,0.06314541382818925,0.46538511244499026,0.944908505592881
104,270,1.004821936109647,-0.5021220474651402,0.3524112441080198,-0.24289186089315618,-0.5642510885772573,2,0,"0,91",23,69.0,374.0,6.33,"0,307692308",13,1.716,1,0,1,0,1,0,1,0,0,1,0,0,0,1,6,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,3,-2.420825722306484,-2.4509587133382644,-2.420825722306484,-2.4509587133382644,-2.420825722306484,-2.4509587133382644,-2.420825722306484,-2.4509587133382644,-2.420825722306484,-2.4509587133382644,-2.420825722306484,-2.4509587133382644,1.0080213903743316,272.16577540106954,1.0128820051158742,-0.5061497644234167,0.35523807226931414,-0.24484019132812804
749,260,0.038113175827004867,0.44026954546772185,0.12399462089590912,1.0796712003235513,-3.7796919012645884,1,0,"0,78",27,73.0,382.0,5.92,0,13,1.778,0,1,1,1,0,1,0,0,0,0,1,0,0,0,5,0,0,0,0,0,0,1,0,0,1,0.0,1.0,1,1,1,0,0,0,0,1,0.0,0,0,0,0,2,-1.3401087494622204,-0.46981564710218726,-1.3401087494622204,-0.46981564710218726,-1.3401087494622204,-0.46981564710218726,-1.3401087494622204,-0.46981564710218726,-1.3401087494622204,-0.46981564710218726,-1.3401087494622204,-0.46981564710218726,0.9869109947643979,256.59685863874347,0.03761431226905978,0.4345068550820187,0.12237165465381608,1.0655393783297875
636,270,-2.499497319914931,2.0423352534535875,1.0376611137443519,0.9033294588279904,-2.1165328602194173,1,0,"1,27",16,68.9,348.0,7.88,"0,692307692",12,1.796,0,1,0,1,0,0,0,0,0,1,0,1,0,0,5,0,0,0,0,0,0,0,0,0,0,1.0,0.0,1,1,1,0,0,0,0,1,0.0,0,0,0,0,1,1.2536119853640177,0.8509463970551991,1.2536119853640177,0.8509463970551991,1.2536119853640177,0.8509463970551991,1.2536119853640177,0.8509463970551991,1.2536119853640177,0.8509463970551991,1.2536119853640177,0.8509463970551991,1.0833333333333333,292.5,-2.707788763241175,2.212529857908053,1.1241328732230478,0.9786069137303229
105,260,1.488176316250968,-0.3136437288785678,2.236848385607933,-1.1246005683709612,-1.6730237826073715,2,0,"1,46",22,69.4,360.0,7.29,"0,076923077",13,1.806,1,0,0,0,1,1,0,0,0,0,1,0,0,1,6,0,0,0,0,0,0,0,1,0,0,0.0,1.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,1,0.8213251962263138,0.6660397108731643,0.8213251962263138,0.6660397108731643,0.8213251962263138,0.6660397108731643,0.8213251962263138,0.6660397108731643,0.8213251962263138,0.6660397108731643,0.8213251962263138,0.6660397108731643,1.0472222222222223,272.27777777777777,1.5584513089628194,-0.32845468274227796,2.34247733715053,-1.1777067063218123
1210,230,-0.9285955844556373,0.534508704761008,-0.5612552487404229,0.7710731527063197,0.5445216054528571,3,1,"0,93",6,71.7,395.0,4.18,"0,538461538",12,1.704,1,0,0,0,1,1,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,1.0,0.0,0,1,1,0,0,0,0,1,0.0,0,1,0,0,5,-0.7997502630400868,0.9301921197046453,-0.7997502630400868,0.9301921197046453,-0.7997502630400868,0.9301921197046453,-0.7997502630400868,0.9301921197046453,-0.7997502630400868,0.9301921197046453,-0.7997502630400868,0.9301921197046453,0.9544303797468354,219.51898734177215,-0.8862798363032285,0.510151346063038,-0.5356790601902264,0.7359356419500823
1282,250,-0.4452412043143162,0.8172261826408667,0.29530708830499214,1.3000983771930028,0.5445216054528571,3,0,"0,88",9,74.2,393.0,9.2,"0,230769231",14,1.706,1,0,0,0,1,1,0,0,0,1,0,1,0,0,5,0,0,0,1,0,0,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,1,0.0,0,0,0,0,5,0.38903840708860704,-0.6283070924010702,0.38903840708860704,-0.6283070924010702,0.38903840708860704,-0.6283070924010702,0.38903840708860704,-0.6283070924010702,0.38903840708860704,-0.6283070924010702,0.38903840708860704,-0.6283070924010702,0.9592875318066157,239.82188295165395,-0.4271143359452855,0.7839548876732996,0.28328440786509423,1.2471681633632623
107,280,-0.32440260927898595,-1.7272311182778608,0.5808278673201305,1.520525554062454,-2.1165328602194173,1,1,"1,235","17,5",74.75,407.0,5.4,0,11,1.7055,0,1,1,1,0,1,0,0,1,0,1,0,1,0,5,1,0,0,0,0,1,0,0,1,1,0.0,1.0,1,1,0,1,0,0,0,0,0.0,0,0,0,0,3,-1.1239653548933668,-0.7603832968168107,-1.1239653548933668,-0.7603832968168107,-1.1239653548933668,-0.7603832968168107,-1.1239653548933668,-0.7603832968168107,-1.1239653548933668,-0.7603832968168107,-1.1239653548933668,-0.7603832968168107,0.9262899262899262,259.3611793611793,-0.30049086903729166,-1.5999167852352665,0.5380150024070988,1.40844750339446
283,240,0.15895177086233514,0.7229870233475805,-0.5612552487404229,-0.4192336023887172,-0.34249654977123434,1,0,"0,96",7,73.3,380.0,6.76,"0,769230769",14,1.719,1,0,1,1,0,1,0,0,1,1,0,0,0,1,4,0,1,0,0,1,0,0,0,0,0,0.0,1.0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,4,-0.31342762526016654,-0.46981564710218726,-0.31342762526016654,-0.46981564710218726,-0.31342762526016654,-0.46981564710218726,-0.31342762526016654,-0.46981564710218726,-0.31342762526016654,-0.46981564710218726,-0.31342762526016654,-0.46981564710218726,0.9921052631578947,238.10526315789474,0.15769688846079039,0.7172792310579943,-0.5568242862503668,-0.4159238634224905
1001,240,-0.0827254192083254,1.2884219791072977,0.8092444905322411,-0.5074044731364977,0.5445216054528571,2,1,"0,9",9,72.8,382.0,6.36,"0,307692308",13,1.771,1,0,1,0,1,1,0,0,1,0,1,0,1,0,5,1,0,0,0,1,0,0,0,1,1,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,0,0,0,4,0.49711010437303377,0.48113302469113417,0.49711010437303377,0.48113302469113417,0.49711010437303377,0.48113302469113417,0.49711010437303377,0.48113302469113417,0.49711010437303377,0.48113302469113417,0.49711010437303377,0.48113302469113417,0.9869109947643979,236.85863874345551,-0.08164262576319024,1.2715578170770976,0.7986522851587825,-0.5007630533310462
1212,230,-0.9285955844556373,0.8172261826408667,-0.5041510929373952,1.2560129418191124,0.5445216054528571,3,1,"0,81",6,72.0,379.0,5.37,"0,153846154",13,1.708,1,0,0,0,1,1,0,0,1,0,1,0,0,1,5,0,0,0,1,0,0,0,0,1,1,0.0,0.0,0,1,1,0,0,0,0,1,0.0,0,1,0,0,5,-1.1239653548933668,-0.20566323827071092,-1.1239653548933668,-0.20566323827071092,-1.1239653548933668,-0.20566323827071092,-1.1239653548933668,-0.20566323827071092,-1.1239653548933668,-0.20566323827071092,-1.1239653548933668,-0.20566323827071092,0.9947229551451188,228.78627968337733,-0.9236953439044202,0.8129136434184875,-0.5014906650063272,1.2493849051868215
108,270,0.8839833410743168,-0.5963612067584264,2.4081608530170158,-0.5955753438842782,-0.5642510885772573,2,0,"0,96",18,69.6,346.0,5.47,"0,538461538",13,1.763,1,0,1,1,0,0,1,0,0,0,1,0,0,1,5,0,0,0,0,0,1,0,0,0,0,0.0,0.0,0,1,0,0,0,0,0,1,0.0,0,0,0,0,3,1.0374685907951673,0.2698110976259521,1.0374685907951673,0.2698110976259521,1.0374685907951673,0.2698110976259521,1.0374685907951673,0.2698110976259521,1.0374685907951673,0.2698110976259521,1.0374685907951673,0.2698110976259521,1.0895953757225434,294.19075144508673,0.9631841606503394,-0.649792413144297,2.623920929443396,-0.6489361405906732
1159,240,-0.5660797993496465,0.7229870233475805,0.46661955571407515,-1.433198615988193,1.4315397606769484,2,0,1,7,70.9,385.0,6.59,"0,692307692",14,1.683,1,0,0,0,1,1,0,0,0,1,0,0,0,1,4,0,1,0,1,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,0,0.0,0,0,0,0,5,0.38903840708860704,0.32264157939224647,0.38903840708860704,0.32264157939224647,0.38903840708860704,0.32264157939224647,0.38903840708860704,0.32264157939224647,0.38903840708860704,0.32264157939224647,0.38903840708860704,0.32264157939224647,0.9792207792207792,235.01298701298703,-0.5543171022203032,0.7079639163689294,0.45692356494599046,-1.4034178655261007
1292,240,-0.4452412043143162,0.8172261826408667,0.5237237115171028,-1.5213694867359735,1.4315397606769484,2,0,"0,88",7,72.0,389.0,6.65,"0,538461538",14,1.696,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,0,0,0,0,0,0,0,0,0.0,0.0,1,1,0,0,0,0,0,1,0.0,0,0,0,0,5,0.38903840708860704,0.6396244699900171,0.38903840708860704,0.6396244699900171,0.38903840708860704,0.6396244699900171,0.38903840708860704,0.6396244699900171,0.38903840708860704,0.6396244699900171,0.38903840708860704,0.6396244699900171,0.9691516709511568,232.59640102827765,-0.43150625713752494,0.7920161204514312,0.5075677101335418,-1.4744377802042725
110,260,-0.9285955844556373,0.2517912268811494,0.5808278673201305,-0.022464684023704905,0.5445216054528571,2,0,"0,5",8,70.0,354.0,6.34,"0,461538462",12,1.813,1,0,1,1,0,0,1,0,0,1,0,1,1,0,5,0,0,0,0,0,1,0,0,0,1,0.0,0.0,0,1,0,0,0,0,0,0,0.0,0,0,0,0,3,1.5778270772172978,-0.10000227473811756,1.5778270772172978,-0.10000227473811756,1.5778270772172978,-0.10000227473811756,1.5778270772172978,-0.10000227473811756,1.5778270772172978,-0.10000227473811756,1.5778270772172978,-0.10000227473811756,1.0649717514124293,276.8926553672316,-0.9889280659315685,0.268150543881902,0.6185652711290655,-0.02392425388965183
